Marca temporal,¿Cómo calificarías el BootCamp Emprendedores 2026?,¿Qué tan conforme estuviste con la organización del evento? ,¿Qué opinás acerca del trabajo realizado por nuestro equipo organizador?,¿Qué te pareció el proceso de acreditación? ,¿Qué te pareció el formulario de inscripción?,¿Qué tan conforme estás con la comunicación previa al evento?,"Si quieres, dejanos un comentario sobre la comunicación previa al evento:",¿Estuviste conforme con la categoría a la que fuiste asignado?,¿En cuál te hubiese gustado estar?,¿Qué tan útil creés que fue el hilo conductor de las charlas durante el BootCamp?,¿Qué tan conforme estuviste con las charlas de los oradores?,¿Cuál fue tu orador favorito? ¿Por qué?,"Si quieres, dejanos un comentario sobre los oradores:",¿Qué tan conforme estuviste con los mentores?,"Si quieres, dejanos un comentario sobre los mentores:",¿Qué tan conforme estuviste con la comida?,"Si quieres, dejanos un comentario sobre la comida:",¿Recomendarías el BootCamp a tus amigos o familia?,¿Qué recomendación nos harías para tener en cuenta en la próxima edición?,¿Te hospedaste en el Milhouse Hostel Avenue?,"Cuando llegaste a la habitación, ¿estaba todo en buenas condiciones? ¿Necesitaste ayuda en algo por parte del hotel? Contanos",¿Estás conforme con la elección de la habitación? ¿Sufriste alguna incomodidad? ,¿Algo que quieras decirnos? Te leemos,Te dejamos este espacio para hacer algún comentario extra
2/06/2026 18:52:57,9,9,Excelente ,9,8,10,,Sí,,9,9,Paco Manríquez. Por su honestidad sobre resignar a la hora de llevar adelante un gran proyecto de vida. ,,10,,8,,9,Dejar ingresar a los que llegan a horario a pesar de que no hayan llegado todos,No,,,,Gracias!! Fue excelente 🫶🏻
2/06/2026 18:53:23,8,8,"Muy bueno el trato, la predisposicion y todo",10,10,9,"Capaz pienso que un cronograma capaz mas detallado hubiera sevido, igual eso es lo unico despues muy conforme con todo",Sí,,8,8,"hubo muchas charlas realmente intereseantes pero el mejor orador fue el de El de Almacen de Pizzas, fue el ordaror mas dinamico de todos, estuvo interesante, divertido, y estoy feliz de haber tenido la oportunidad de escucharlo.","La mayoria increibles, cpaaz algunos no pudimos escucharlos con toda la atencion del mundo por el horario o el cansancio pero muy interesantes, solo una charla no me intereseo y fue la primera individual de Experiencia de Usuario, despues las otras estuvieron re buenas.",9,"Sobre los mentores la verdad fueron de mucha ayuda en algunos momentos y los re bancamos, lo unico que capaz en un momento yo creo que por algo de organizacion y no saber que grupos ya habian tenido mentorias o no, nos paso que no paraban de pasar y no podiamos concentrarnos, igualmente nos re ayudaron!!",7,"No se si hay solucion, pero mucha comida chatarra  jasjas, lo que si en lugar de solo manzanas sumaria bananas!, a mucha gente le gustan mas o algun yogurt",10,"Cronograma y organizacion en ese sentido, pienos que capaz habia momentos en los que se juntaban muchas cosas, tipo charla merienda charla, que generaba que quisieramos pulir un poco mas nuestro proyecto y no poder, y no querer ir a las charlas, aunque despues estuvieran buenas las charlas.
Por otro lado habia dias que se terminaba bastante tarde y al no estar en el hostel o vivir cerca se asi difiicl disfrutar al 100% esos ultimos momentos que aunque eran divertidos, algunos estabamos pensando en al vuelta y eso.
",No,,,,"muy increible todo, la verdad una de las mejores experiencias de mi vida hasta ahora, asi que se los agradesco muchisimo. No queriamos que termine mas, y ahora que termino extrañamos el bootcamp. Si fuera del ITBA me re postularia como staff"
2/06/2026 18:55:55,9,8,"Espectacular, estaban siempre atentos a todo, muy buenos tratos y siempre buscando ayudar.",4,8,10,,Sí,,9,10,"La charla u mas me gusto fue la d Gero Maspero  y los chicos de Humand. Al ser jovenes que encima estudiaron en la misma facultad que yo se sintio cercano y me hizo conectar un monton. Ademas los chicos unos grosos y dieron un mensaje muy motivador. Tambien destaco la de Ale Vazquez que me parecio de las mas interesantes, sobr todo disfrute su forma de hablar y comunicar.",Toda gente de primer nivel. A varios no los conocia pero aprendi de todos algo. Muy buena tambien la de Sebastian Rios.,8,"Todos unos grosos que nos re ayudaron a plantear y ordenar las ideas o ver en que cosas pone el foco cuando por ahi en el grupo nos trababamos. Lo unico que capaz pasaba que se contradecian entre si, pero entiendo que cada uno tenia lo suyo para aportar y estaba en el grupo definir y quedarae con lo que resonaba mas de cada uno.",9,La unica que no me gusto fue la ensalada del segundo día,10,Por ahi estria bueno que los jurados den un poco mas e feedback a los grupos que no pasan o el por que de las elecciones.,No,,,,"La rompieron chicos, se noto todo el esfuerzo que hicieron. Felicitaciones!!!"
2/06/2026 18:55:56,10,10,10/10 en todo,10,10,10,,Sí,,10,10,Ale Vazquez porque me gusto el foco en disfrutar del camino,Uno mejor que el otro!! Increibless,10,,10,,10,"Capaz asignaría mentores fijos porque, como cada uno tiene su criterio(muy logico), uno viene y te dice que es el mejor proyecto que vio, otro viene y te dice que no le gusta y así. Entonces, si laburaste todo un día porque algunos te dieron el visto bueno y el sábado a la tarde/noche viene otro y te pincha el proyecto es medio fiaca. ",No,,,,Muchas gracias a todo el equipo de Trama!!
2/06/2026 18:56:13,10,10,"Siempre buen trato, muy humano como manejaban los problemas que podian surgir, copados y siempre con energia. Se interesaban y preguntaban a cada participante. Impecable en ese sentido.",10,9,8,"Lo unico que no entendi de la comunicacion previa fue la razon detras de no comunicar como iba a ser el evento de antemano; con respecto a charlas y el metodo de trabajo, que ibamos a hacer. Pero de igual manera fuera de eso estuvo increible y muy entendible todo y con buenos tiempos.",Sí,,9,10,"Mi orador favorito fue Alejandro Vazquez el co-founder de TiendaNube. Me parecio impecable como hablo y se comunico con el publico y mostro tanto la idea como las relaciones con los amigos y socios con las que creo su emprendimiento. Se metio por el camino mas personal y eso suma a nosotros, los oyentes. Demas esta decir que cada charla aporto cosas muy importantes, algunos quizas en oratoria no estaban tan fluidos pero lo que hablaban es tambien muy importante y nos dejan herramientas.","Increible todos, historias que suman y nos enseñan a como comportarnos, adaptarnos, pensar el problema, entender que no hay una sola forma de hacerlo. 10 puntos todos los oradores, salvo la fluidez de alguno que otro pero lo demas es excelente.",9,"Muy buenos mentores, siempre dispuestos a ayudar y brindaban su punto de vista y donde mejorar y donde ampliar o cambiar, inclusive el equipo de trama se sumaba a dar feedback de nuestro proyecto. Le doy 9 puntos, porque siento que a veces fueron como muy amigados a la odea nuestra cuando se debe ser mas ""malo"" por asi decirlo. Decir las cosas q son sin tapujos. Como el director de AUSA y Joaquin de trama. Que nos hablaron como si fueran los jurados y eso es lo que mas me gusto.",10,"Impresionante, no se puede pedir mas.",10,"Algo mas alla de lo ya dicho es actividades entre grupos o fuera de ellos para conocerse entre si y pensar fuera del foco del grupo. Entiendo que el tiempo es limitado y que el tiempo con el equipo de trabajo es importante pero nada buscar una solucion a que sea un evento mas conectado entre todos y no solo el equipo. A mi me paso que conoci gente antes de armar el grupo y demas con los q fui charlando, tambien el grupo del hostel (que se conecto por ese lado). Pero escuche gente que como que se quedo en ese molde. Igualmente",No,,,,"Nada mas que decir, ojala les sirva el feedback y que fueron un gran equipo y lo hacian notar a todo el esfuerzo y preparacion detras del evento. Inclusive para querer ser parte de un evento asi en el desarrollo detras del mismo (con lo complicado q debe ser). Muchisimas Graciasss. Soy Mateo Hernandez y me encanto, saludos a todo el equipo de Trama"
2/06/2026 18:56:55,10,10,"Un mil!!!! Todos súper amables, respetuosos y atentos. ",10,10,10,,Sí,,9,10,Martín Rastellino por como habló y como contó su historia ,,10,"Todos en general unos genios. Especial mención a Gastón Chapartegui por el tiempo que nos dedicó, la buena onda y el valor que sumo.  ",10,,10,Quizás un poco más de tiempo para preparar el pitch el domingo?,No,,,,"Los felicito a todos por organizar un evento tan profesional, por estar en todos los detalles y les agradezco de corazón porque mas allá de toda la competencia generan un punto de encuentro y colaboración entre emprendedores y jóvenes que quieren emprender y eso es de un valor altísimo. Gracias por trabajar tanto para darnos este lugar. (poco comentario de mejora perdón! es su culpa por hacerlo tan bien) 
"
2/06/2026 18:58:30,9,10,"Un lujo todos los chicos de Trama, siempre cerca y a disposición para todo lo que necesitamos; y más allá de eso, la buena onda y ganas de compartir con nosotros se aprecia muchísimo ",10,10,10,,Sí,,10,10,Ale Vázquez. Me encantó como armó la charla y apeló a los estudiantes con historias parecidas a la suya,Me encantó que fueran todos de áreas distintas ,10,,10,,10,Quizás organizar mejor los tiempos; siento que el tiempo de trabajo fue poco en relación a la cantidad de charlas que tuvimos ,No,,,,
2/06/2026 18:59:02,9,10,"no, realmente sentí como que son todos un grupo de amigos, los de trama que que te integran a esa unidad que ellos tienen y realmente generaron un lindo ambiente. Todas las personas en el BootCamp fueron súper amigables todas tenían ganas de hablar de conocer a los demás, y lo considero súper valioso, más que nada desde el lado de la organización. Jaz la cabra ",10,9,8,"sinceramente no soy parámetro porque me anoté a último momento y entré al Bootcamp en la noche anterior, así que no tuve mucha comunicación por ahí podrían haber usado el grupo de WhatsApp de los anuncios un poco más dentro de lo que era el evento para anunciar adónde había que ir o que había cajera hasta haciendo cosas así",Sí,,9,10,"me gustó mucho todo lo que fue la charla de Iguacel porque era bastante específica cerca del rubro que estábamos trabajando y de nuestro proyecto y por otro lado me gustó mucho la charla que dio Abigaíl en el segundo día acerca de nada estuvo muy buena la parte de los explicaba que tenía que tener una buena propuesta, como convencer a los inversores, y todo eso creo que fue muy valioso poder tener esa mirada de qué invierta en tu empresa, y no tanto esa mirada de simplemente presentar un producto y un problema ","no, lo único que podría dejarme es tal vez que el primer día hacía ya la noche se me hicieron muy pesadas las charlas por ahí hubiera hecho una menos de las dos que hubo ese día a la tarde y después la primer charla de energía del segundo día que tuvimos algunos grupos, les habrá servido un montón, pero al nuestro fue como que nos sacaron del Mood de laburo que estábamos y nada nos dio un poco de pereza",10,"voy a agradecer todo el resto de los días de mi vida, porque el segundo día por la tarde cuando estamos muy enroscados en que está que hacer apareció Lautaro la cabra y nos dio una mano enorme más que nada para encontrar un diferencial en nuestro producto y también todo el tercero día estuvo ahí siempre con nosotros para para ver cómo pulir mejor nuestra solución",10,Caballo regalado no se le miran los dientes,10,Que intenten superarse,No,,,,"no sé, la verdad que estuvo buenísimo hubo gente que hizo proyectos muy buenos. Lo único que me dio un poco de pena es que muchos proyectos que tenían problemas soluciones súper complejas se quedan sin sin tiempo para desarrollar o para dar una mejor solución por ahí intentaría hacer que que la gente entienda que hay poco tiempo y que tienen que dar una solución específica."
2/06/2026 18:59:05,10,10,excelente! siempre mostraron disposición y resolvían cada caso ,10,10,10,,Sí,,8,10,"Ale Vazquez de Tiendanube! Fue súper humana y su historia es muy inspiradora, mostrando distintos momentos al emprender",,8,"no me tocó un mentor específico según mi temática, igual ayudaron mucho!",10,,10,"Personalmente abarcaría más sobre el eje del proyecto, creo que se perdió un poco al hablar tanto del problema y buscar principalmente eso. También es importante una solución que pueda ser viable en cuanto a tecnología disponible, y agregaría una charla o mentoría sobre modelo de negocio, inversiones, métodos de crecimiento dentro de un emprendimiento. Digo que se perdió el eje, porque al final el jurado no se entendió qué evaluó con más énfasis: innovación, modelo de negocio y crecimiento del proyecto, o viabilidad. ",Sí,"Si. No necesité ayuda , todo impecable en cuanto a limpieza y servicio de atención.",Totalmente conforme ,-,fue una hermosa experiencia!! pude aprender un montón y volví con muchas ganas de seguir emprendiendo con la gente que conocí 
2/06/2026 18:59:08,8,10,"10/10 su calidez y trato a todos, tremenda predisposición, mucho acompañamiento y conocimiento para aportar y ayudarnos",10,10,10,,Sí,,6,10,Damasia y  Geronimo Maspero,Oradores muy copados e interesantes,8,"Lautaro ídolo, nos dió una re mano y nos escuchó un montón. Mucha paciencia y calidez, súper correcto y presente. Lo único que sentimos que por la categoría (energía) tuvimos mentores muy a último momento (sábado por la tarde), cuando otros grupos ya habían podido charlar con otros mentores",7,,10,"Más horas de trabajo, menos bloques de charlas",No,,,,"Gracias por todo, muy lindo evento!!"
2/06/2026 18:59:41,10,10,Excelente ,10,10,10,,Sí,,10,10,"Alejandro Vázquez por lo que me transmitió. Su espíritu emprendedor es admirable. Algunas frases que me gustaron y estoy de acuerdo fueron “El esfuerzo no garantiza el éxito, pero sin esfuerzo es difícil lograr algo” y ""No perdemos tiempo; de todo se aprende.""","Excelentes. Muy bien elegidos los oradores, me gustó mucho escucharlos a todos. ",10,"Unos genios todos y en nuestro caso hasta usamos de mentores a los de fotografía y video, cracks.",10,,10,"La verdad que desde que terminó el evento estuve pensando que le mejoraría, dado que me gustaría formar parte de trama para la próxima. No encontré nada relevante para cambiarle, estuvo muy bien logrado, el agradecimiento hacia los organizadores es enorme. ",No,,,,GRACIAS. INCREÍBLE TODO. Me emocioné con ustedes en el mensaje final. 
2/06/2026 19:00:32,10,8,"Todos unos genios, muy predispuestos a consultas y con mucha buena onda overall",9,9,9,Por ahí no era la idea pero hubiese estado bueno tener una visión mas gral de lo que se iba a hacer en el evento con horarios. ,Sí,,8,9,"Imposible elegir así que dejo top 3, mike medus, gatón Remy, Julián Drault",Me re sorprendí con la calidad de los oradores. El único detalle fue que algunas charlas estaban en momentos que sentí que interferían con el tiempo de trabajo y no los pudimos linkear con nuestro proyecto. En mi caso particular en procesos y operaciones el primer día dieron una charla Oscar y Dante que no tenía mucho que ver con la búsqueda del problema ni con solución. ,7,"Cracks, traían puntos de vista distintos y una mirada más madura sobre los proyectos. Pero tuvimos dificultades hasta conectar con mentores la ubicación de trabajo que nos tocó",8,"Desayuno y merienda muy bien sólidisimo.  Chicken chill god excepto las papas, el sandwich de milanes top, el bowl con arroz muy rico pero mucho olor a cebolla tenámos todos post. ",10,Seguir con el mismo empuje que hubo en este BootCamp porque fue una locura la energía que se sintió es realmente lo que me va a quedar por toda la vida. Y les recomiendo sumarme al equipo del bootcamp que tengo muchas ganas de aportar al ecosistema que armaron lhawa@itba.edu.ar,No,,,,No me alcanzan las palabras para agradecer por el mejor bootcamp de la historia
2/06/2026 19:07:41,10,9,"Increíble, siempre dispuestos a ayudar, completa predisposición y se notaba que el equipo tenía sinergia (fundamental para que todo salga como salió), incluso nos mentoreaban un poco y nos ayudaban a organizar las ideas para el pitch.",9,9,10,,Sí,,9,9,"Alejandro Vazquez. Porque me sentí bastante identificado con sus inicios para entrar en el ITBA, además de estar becado y ser del mismo barrio. Pero sacando eso, me gustó como exponía y lo convencido que estaba de su producto con el cual terminó triunfando.","Las charlas vienen muy bien, el problema era que quizás en ciertos momentos nos encontrábamos deep focus trabajando en la idea y teníamos que cortar todo para movernos hacia las charlas. Pero los oradores en general muy buenos, la verdad que la vara quedó muy alta para las próximas ediciones. ",10,"Por lo menos nuestro grupo, taladramos a los de Pan American Silver, siempre vinieron a darnos una mano y recibimos muy buen feedback de ellos.",8,,10,"Ver alguna manera de organizar las charlas por temática y las generales para que no corten tanto el espacio de trabajo. Sentí que nos faltó un poco de tiempo, especialmente el último día.",No,,,,
2/06/2026 19:09:23,9,9,"Todo la verdad que un exito, unica cosa que considero a destacar, el momento de la final a la hora de hacer la fila para entrar al teatro el trato por parte de la chica que nos ordeno no cosidero que haya sido el ideal? nunca falto el respeto pero ya estabamos bastante nerviosos por el contexto y su actitud no fue la ideal",10,10,10,"Muy buena, bastante clara, capaz aclarar que si incluye y que no incluye para los que viajamos del interior, nose si lo decia o no pero por ej los traslados no los tenia contemplados (de todas formas no me molesto para nada, ni se me hizo algo contraproducente, pero capaz a alguien si?)",Sí,,10,8,"Contenido, la chica que dio la charla sobre peach, se  nota que la tiene muy clara, muy energica y me gusto que el contenido no fue solo respecto a peachear sino que tambien dio consejos sobre desarrollo personal que me parecieron interesantes","Hubieron algunos que de nombre eran muy buenos pero el contenido no siento que haya sido un gran aporte, considero que es algo a tener en cuenta para el futuro",10,,9,"Muy rico todo, la verdad que felicidades, lo unico a la hora de las meriendas o desayunos una opcion mas en tema frutas? siento que las mediaslunas despues de un rato ya caian un poco pesadas pero muy buena la variedad y ayudo bastante respecto a eso",10,"Un póco mas de tiempo de preparacion para los finalistas asi pueden presentar algo de mejor calidad y viene acorde al nivel del evento. En general estuvo excelente en todos los aspectos, inclusive considero que lo que remarque no es mas que una opinion personal. Gracias por todo team Trama! Son gente muy linda, sigan asi <3",Sí,Todo perfecto,"Para nada, un exito","Invitenme a participar como colaborador en proximas ediciones, seria un orgullo poder formar parte del proceso y ayudarlos en lo que necesiten. Entiendo que capaz es dificil pero algun vacio legal debe haber jaja, los tkm",
2/06/2026 19:14:27,10,10,"Increíble, super organizados con todo y muy presentes en cada momento",10,10,10,"Me hubiera gustado que avisaran un poco antes los seleccionados, asi los del interior teniamos un poco mas de margen para sacar pasajes",Sí,,10,9,"Mi orador favorito fue Sebastian Rios, me encanto como estructuro su charla. Increible su storytelling y muy sincero al momento de responder preguntas","Me quede con ganas de escuchar más mujeres, creo que su experiencia es bastante distinta",10,,10,,10,Incluir más mujeres entre los oradores y aprovechar la pregunta de las credenciales para hacer alguna dinámica general,Sí,Todo perfecto,Super conforme,-,"Gracias por todo, se pasaron 🧡"
2/06/2026 19:14:31,10,10,"Me sacó el sombrero, increíble ",10,10,10,,Sí,,10,10,Victor Valles - el de tienda nube - el de almacén de pizza ,ESPECTACULARES TODOS ,8,Estuvo bárbaro. Solo el último día una hora antes de la entrega un mentor nos dijo que no le parecía que nuestro problema era un gran problema y bueno… #estrés ,10,GRACIAS POR DARLE TANRO AMOR A LOS CELIACOS ,10,Más tiempo para armar el pitch y consignas mas precisas! Conocer el cronograma puede ayudarnos a administrar mejor el tiempo ,No,,,,"Posta un gracias por organizar un evento así, admiración y gratitud total chicos!! "
2/06/2026 19:15:28,10,10,"Muy bueno, excelentes personas siempre a disposición",10,7,10,,Sí,,10,10,"Mike Medus, creo que aportó muy buenas recomendaciones aparte de experiencia personal",,8,,8,,10,Tal vez un poco más de tiempo para preparar el Pitch,No,,,,Muchas gracias por la oportunidad!! Fue un fin de semana increíble❤️❤️
2/06/2026 19:16:00,10,10,Nada malo que mencionar todos de 10.,10,10,10,,Sí,,10,10,El de tienda nube por lo que transmitia como persona.,,10,,9,,10,Mantener el nivel que se obtuvo en esta edicion.,No,,,,"La verdad que soy bastante seco por lo general pero siento que este evento despierta cosas en uno en muchos sentidos. Desde lo social, individual, profesional y sobre todo en la forma de ver el mundo, te abre bastante la cabeza y te hace verlo con otros ojos llenos de posibilidades. Desconozco como haya sido en ediciones anteriores pero la calidad de gente que participio y organizo el evento fueron las que hicieron que sea el mejor bootcamp de la historia. Esperemos que la proxima vez que veamos nombres conocidos de este evento aparezcan en alguna noticia como emprendedores o de exito (esperemos que no sean por algun delito)."
2/06/2026 19:28:18,10,10,"Todo impecableeee! Siempre estuvieron con mucha buena onda y predisposición, y nos generaron confianza para pedir o decir lo que sea, y sobre todo siempre divirtiéndonos. Muuuuy bien organizado todo. Se generó un ambiente donde todos tenían ganas de conocer, hablar, proponer y hacer cosas. Tremendo!",10,9,10,,Sí,,10,10,"Alejando Vázquez, me gustó como organizó la presentación, como nos contaba a través de fotos viejas el proceso, y su mensaje siento que motivó mucho",,10,,10,,10,"Se me ocurre para que los equipos lleguen con más tiempo y cumplan los tiempos de buscar problemática, solución, y pitch, podría haber un entregable de el problema a solucionar el segundo día.",No,,,,
2/06/2026 19:30:43,9,10,"Siempre a disposición, cualquier duda de cualquier tipo te le encontraban la respuestas de una forma paciente y correcta ",10,9,10,,Sí,,8,8,"Ale Vázquez, ya que pude sentir muy identificado sobre su historia","Me parecieron de 10 todos, pero en la charla de procesos sobre mineria siento que estaba un poco aislada a la problemáticas que elegimos la mayoría",8,,8,,10,Con la temática de procesos me sentí poco identificado ya que la mayoría a nuestra corta edad tenemos pocas experiencias en todo esos rubros y resulto complicado ponerse en los pies de la gente que tenia el problema ,Sí,Si estaba todo en buenas condiciones,Estoy conforme y no sufrí ninguna incomodidad,"Muchas gracias por darnos lugar para alojarnos a los del interior, sin esa posibilidad no hubiera sido realizable esta experencia ",
2/06/2026 19:33:13,10,10,"Unos genios, realmente es impresionante el nivel de organización que hubo. Y sobre todo, la energía y buena onda.",10,10,10,,Sí,,9,9,Ale Vazquez. Un crack. Me hubiera quedado escuchando su experiencia más tiempo. Fue super dinamico y se sintió muy honesto.,,10,Sofi Vasquez UNA GENIAAA. Los mejores consejos y opiniones ÚTILES y super aplicables.,10,,10,Sólo que quizá hubiera dejado un poco mas de tiempo para trabajar el primer día.,No,,,,"Estuvo todo excelente, realmente de PRIMER NIVEL. Los sponsors increíbles también. Sentí que aprendí muchísimo, me desafié y encima tuve la oportunidad de conocer gente muy capa y con ganas de HACER. Muchísimas gracias, una de las mejores experiencias y ya me encargué de ir recomendándola!!"
